entry_id,domain,raw_text,image_description,audio_description,modality_combo,extraction_path,,annotator_label
REST_1200,restaurant,"What's with the ramen shop and their lack of gluten-free options? I've been to many places that cater well for dietary needs, but this place seems to ignore them completely. It’s a major turn-off if you're eating out as a health-conscious individual.",,,T,HN,,0
REST_1579,restaurant,"The Italian restaurant has a wonderful selection of pasta and pizza, and the service speed is impressive. However, I wish they could improve their dish presentation; adding more garnishes or artistic plating would elevate the overall dining experience.",,tone: cheerful | pace: normal | energy: medium | pitch: varied | notable: none,T+A,P1,,1
TECH_0005,tech_software,Can the CRM software support more languages? It would be great if they could add support for Spanish and Portuguese.,,,T,P1,,1
REST_1003,restaurant,"The gastropub has a fantastic kids menu, but they should consider adding a loyalty program to reward repeat customers. It would be great for families like mine who frequent this place often.",,,T,P1,,1
TECH_0323,tech_software,"How come this cloud storage service doesn't support seamless integration with other popular applications by default? It would be better if it offered built-in, easy-to-use options for file sync and share.",A screenshot of a settings panel with options related to third-party apps.,,T+I,P3,,1
REST_1226,restaurant,"I ordered a curry from the food truck and it was nowhere near spicy enough, plus there were visible hairs in my dish.",,,T,HN,,0
REST_1922,restaurant,"The steakhouse had the most disappointing dessert selection. My date and I were left with no choice but to skip it altogether, which is a shame given how promising everything else looked on their menu.",A dessert display case with a few remaining pastries and cakes. The shelves are mostly empty with limited selection.,tone: disappointed | pace: normal | energy: low | pitch: falling | notable: trailing_off,T+I+A,HN,,0
REST_2231,restaurant,Our hot chocolate was made with water instead of milk. The menu clearly said milk-based.,A restaurant table with dirty plates and spilled drinks still present.,tone: frustrated | pace: slow | energy: low | pitch: varied | notable: controlled_delivery,T+I+A,HN,,0
TECH_0423,tech_software,The CI/CD platform doesn't integrate well with our current systems. The compatibility issues are causing us major headaches.,Screenshot showing several error messages and a loading screen.,,T+I,HN,,0
REST_2211,restaurant,The grill marks on my steak were clearly painted on. The meat was obviously pan-fried not grilled.,,tone: angry | pace: normal | energy: medium | pitch: falling | notable: trailing_off,T+A,HN,,0
TECH_0071,tech_software,"The external SSD is solid, but I wish they could improve the data transfer speeds when working with large files.",,,T,P1,,1
REST_2242,restaurant,The restaurant had no changing table in either restroom. Parents with infants are clearly not welcome.,A restaurant showing a long queue extending outside the door.,tone: sarcastic | pace: fast | energy: high | pitch: falling | notable: monotone,T+I+A,HN,,0
TECH_0284,tech_software,"The code editor is fantastic for my design projects, but it needs a clearer layout of shortcuts to ease the learning curve.",Screenshot showing a settings page with highlighted sections and text labels.,,T+I,P3,,1
