entry_id,domain,raw_text,has_image,image_description,gold_image_description,has_audio,audio_description,gold_audio_description,modality_combo,is_suggestion,suggestion_type,suggestion_text,extraction_path
TECH_0042,tech_software,The CRM software is fantastic but I'd really appreciate a feature that allows for automatic tagging of high-value clients. It would save so much manual effort.,False,,,False,,,T,True,explicit,add a feature that allows for automatic tagging of high-value clients,P1
TECH_0080,tech_software,"Customer support for this product is top-notch, but they could consider adding more comprehensive self-help resources on their website.",False,,,False,,,T,True,explicit,add more comprehensive self-help resources on their website,P1
TECH_0084,tech_software,"The tablet is perfect for my casual needs, but the battery life could be longer. I wish it lasted a full day on a single charge!",False,,,False,,,T,True,explicit,improve battery life,P1
TECH_0010,tech_software,"The smart thermostat works great, but I wish there was an option to integrate with more third-party devices. It would make it even smarter.",False,,,False,,,T,True,explicit,"add option to integrate with more third-party devices, make it even smarter",P1
TECH_0069,tech_software,"The performance of this robot vacuum is impressive, but I think they should make it quieter during operation to avoid waking up pets or family members while cleaning at night.",False,,,False,,,T,True,explicit,make it quieter during operation to avoid waking up pets or family members while cleaning at night,P1
TECH_0048,tech_software,"The graphics card is amazing, but I wish it came with its own cooling system for better performance during long gaming sessions.",False,,,False,,,T,True,explicit,improve  with its own cooling system for better performance during long gaming sessions,P1
TECH_0002,tech_software,"As a remote worker, I rely heavily on cloud storage services. The XYZ Cloud offers great performance but should implement stronger data encryption features for peace of mind.",False,,,False,,,T,True,explicit,provide stronger data encryption features for peace of mind,P1
TECH_0074,tech_software,"The project management app has great collaboration features, but could it also include more options for visual task boards?",False,,,False,,,T,True,explicit,add more options for visual task boards?,P1
TECH_0016,tech_software,"The dash cam is very durable and the video quality is impressive, but I wish there was an additional feature to automatically upload footage to the cloud without manual intervention. That would make it perfect!",False,,,False,,,T,True,explicit,add an additional feature to automatically upload footage to the cloud without manual intervention,P1
TECH_0082,tech_software,"This mechanical keyboard is fantastic for my coding needs, but the build quality leaves something to be desired. It would be better if they used sturdier materials.",False,,,False,,,T,True,explicit,improve build quality leaves something to be desired,P1
TECH_0060,tech_software,The connectivity features of this smart speaker are just what I needed as a freelancer. It seamlessly links to all my devices. They should add support for more IoT devices.,False,,,False,,,T,True,explicit,add support for more IoT devices,P1
TECH_0011,tech_software,"The accounting software I'm using is so user-friendly, but they should consider adding more detailed tutorials for first-time users like me.",False,,,False,,,T,True,explicit,add more detailed tutorials for first-time users like me,P1
TECH_0046,tech_software,"As an enterprise admin, I'm quite pleased with the video conferencing tool. Could we also get better integration options for popular business apps like Slack and Trello?",False,,,False,,,T,True,explicit,offer better integration options for popular business tools,P1
TECH_0034,tech_software,"The graphics card makes my setup look stellar, but it needs better accessibility features. Could they please add more intuitive controls for users with disabilities?",False,,,False,,,T,True,explicit,add more intuitive controls for users with disabilities?,P1
TECH_0058,tech_software,I use this backup solution religiously and find it incredibly reliable. But it needs to enhance the mobile app's user experience.,False,,,False,,,T,True,explicit,enhance the mobile app's user experience,P1
TECH_0038,tech_software,"I love the smart thermostat’s connectivity features, but they could add an API for third-party apps integration to enhance functionality and customize user experience.",False,,,False,,,T,True,explicit,add an API for third-party apps integration to enhance functionality and customize user experience,P1
TECH_0051,tech_software,"This AI writing assistant has been a game-changer for my small business, making complex tasks much simpler. However, it would be better if they included more templates for legal documents.",False,,,False,,,T,True,explicit,add more templates for legal documents,P1
TECH_0033,tech_software,"I'm a gamer and my laptop handles all my gaming needs, but I think it should come with an in-built cooler to keep temperatures low during extended use.",False,,,False,,,T,True,explicit,include an in-built cooler to keep temperatures low during extended use,P1
