entry_id,domain,raw_text,has_image,image_description,gold_image_description,has_audio,audio_description,gold_audio_description,modality_combo,is_suggestion,suggestion_type,suggestion_text,extraction_path
SEMTRIAL_1310_1,tech_software,"I'm not asking Microsoft to Gives permission like Android so any app can take my data, but don't keep it restricted like iPhone.",False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1312_1,tech_software,somewhere between Android and iPhone.,False,,,False,,,T,False,,,HN
SEMTRIAL_1313_1,tech_software,And in the Windows Store you can flag the App [Requires Trust] for example.,False,,,False,,,T,False,,,HN
SEMTRIAL_1313_2,tech_software,"Many thanks Sameh Hi, As we know, there is a lot of limitations is WP8 OS due the high security in the OS itself which is very good, but some time we need to allow some apps to do extra works, apps which we trust i.e: hotmail app, facebook app, skype app ....",False,,,False,,,T,False,,,HN
SEMTRIAL_1313_3,tech_software,"The idea is that we can develop a regular app and we request our permissions in the manifest, OR the app can ASK FOR TRUST_�_ more",False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1316_1,tech_software,Please add this simple and extremely helpful feature.,False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1318_2,tech_software,Why not let us have several pages that we can put tiles on and name whatever we want to .,False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1319_1,tech_software,The Idea is if user running our app and by any reason he rebooted the phone so in that case once reboot happen there should be some event so that we can detect that phone is rebooted and we can handle our application accordingly,False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1319_2,tech_software,Add support for the biometric framework from windows 7/8 to allow hardware manufactures to add fingerprint sensors for device login (login allows standard user & guest/kid mode) and for wallet (WP8) transaction activation.,False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1319_6,tech_software,"It would be more natural to allow the physical search key to activate the search function on the active application, rather than loading Bing which is rarely the goal.",False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1319_7,tech_software,Allow platform built-in camera and video apps to use increase and decrease volume hardware keys for picture optical and digital zoom of camera.,False,,,False,,,T,True,explicit,,P1
SEMTRIAL_1319_8,tech_software,"On WP8 add optional support to hook these hardware keys press events for the lens (plug-in) features...hardware keys should include vol+, vol-, stage 1 (light press) camera shutter, stage 2 (deep press) camera shutter.",False,,,False,,,T,True,explicit,,P1
